Akash,Abhi,Ani,Naati,Prateek
0,310,310,310,310
400,0,0,420,400
340,340,0,340,0
0,320,300,0,0
370,0,370,0,370
0,0,0,410,410
0,380,0,400,380
430,0,0,430,0
0,0,400,400,0
400,400,400,0,0
0,320,320,0,320
0,340,0,0,340
0,340,0,360,0
380,0,0,400,380
340,340,0,0,340
0,400,400,0,0
0,360,0,0,360
360,0,360,0,360
0,0,350,350,350
420,0,0,400,400
350,350,350,0,0
400,380,0,0,380
380,0,0,380,400
0,420,0,400,400
0,370,0,350,0
410,0,410,0,0
0,0,370,370,390
0,0,300,300,300
0,0,400,400,420
390,390,0,0,0
450,430,0,430,0
380,380,0,0,0
380,380,380,0,0
500,0,500,520,0
400,0,0,380,380
0,400,420,0,400
360,360,360,0,360
