Abhi,Akash,Nats,Naati,Prateek
0,420,0,0,420
0,0,380,0,380
380,380,0,0,0
420,0,420,0,440
400,0,400,0,400
320,0,320,320,320
0,410,0,410,0
0,390,0,390,0
390,0,390,0,390
0,380,0,380,0
0,400,400,400,0
400,420,0,400,0
380,380,0,380,0
380,0,0,380,380
400,380,0,0,380
0,410,0,410,0
410,0,0,0,410
0,0,0,320,300
390,390,0,410,0
0,410,410,0,0
310,0,0,310,310
0,0,440,440,0
300,0,0,300,300
0,410,0,0,410
390,0,0,0,390
380,400,0,380,0
0,0,0,390,390
0,320,320,320,0
0,0,380,0,380
0,380,0,380,380
380,380,380,0,0
0,380,380,0,380
400,0,0,400,400
400,0,380,0,380
390,390,0,0,0
380,400,380,0,0
380,0,380,0,0
400,400,0,0,400
0,380,0,400,0
0,420,400,400,0
380,0,0,400,0
0,380,380,400,0
310,310,0,310,0
0,0,0,380,380
0,390,0,410,390
300,0,300,300,300
0,440,0,440,460
390,390,390,0,0
390,390,0,0,0
0,400,0,400,400
390,0,0,0,390
380,380,0,380,0
400,0,400,400,0
380,380,380,0,0
380,0,400,0,380
410,0,390,390,0
0,0,380,380,380
0,380,0,380,400
420,0,0,0,420
380,0,380,380,0
0,400,0,380,0
0,380,0,380,0
0,380,0,380,380
300,0,300,300,0
0,0,320,0,320
0,380,400,380,0
0,0,380,380,0
400,380,0,0,380
0,400,400,400,0
280,0,0,0,300
300,300,0,300,0
400,380,0,0,380
0,320,300,0,0
290,0,0,290,290
380,380,0,0,0
300,300,300,0,0
280,280,0,280,0
0,300,280,0,0
290,0,0,0,310
0,380,380,0,0
