Akash,Ani,Nats,Naati,Prateek
0,420,420,440,0
380,0,0,0,380
400,420,400,0,0
380,0,380,0,380
380,0,380,400,0
0,380,400,380,0
390,0,390,390,0
0,290,290,0,290
0,310,0,0,290
0,380,380,380,0
0,290,0,0,310
0,290,0,0,310
380,0,380,400,0
410,0,410,410,0
0,290,0,0,310
310,310,0,310,0
410,0,0,430,410
300,0,300,300,0
0,380,380,0,0
400,380,0,380,0
410,0,390,0,390
430,0,410,410,0
450,430,0,430,0
0,390,0,390,0
0,400,0,400,420
390,0,390,410,0
420,440,0,0,420
380,380,0,400,0
0,410,0,410,0
0,410,0,430,410
0,430,0,0,430
390,410,0,390,0
390,410,0,390,0
0,410,0,0,410
420,0,0,0,420
380,0,380,380,0
400,0,400,420,0
420,420,0,0,420
0,0,410,0,430
0,390,410,0,390
0,400,0,0,400
0,390,390,0,0
0,420,0,420,0
0,410,0,0,410
390,0,390,0,390
400,0,0,0,400
0,390,0,0,390
410,0,410,0,0
0,0,0,390,390
410,0,390,0,390
420,0,0,0,400
0,0,420,0,420
420,420,420,0,0
400,0,400,0,0
400,0,0,400,0
0,410,0,0,410
380,0,400,0,380
0,0,440,440,0
