Abhi,Akash,Ani,Naati,Nats,Prateek
410,410,0,0,0,410
0,380,0,380,0,400
410,0,0,390,0,390
0,380,400,0,380,0
400,0,400,0,0,400
0,410,0,0,410,410
0,430,0,410,0,410
370,0,0,0,390,370
390,0,390,0,390,0
370,0,370,0,0,370
0,400,400,0,400,400
390,0,0,0,410,390
0,0,0,430,410,410
0,380,0,360,0,360
390,390,0,0,0,410
0,390,390,0,390,390
390,390,0,0,390,0
0,0,380,380,0,380
0,400,400,0,0,400
0,410,0,410,0,410
0,380,380,0,380,380
410,430,0,410,0,0
0,400,0,0,400,400
0,0,380,0,380,400
380,380,0,0,380,0
0,390,0,390,0,390
0,390,0,390,0,390
400,0,400,0,0,400
0,410,0,390,390,0
390,410,0,390,0,0
0,430,0,410,0,410
0,390,0,390,390,390
0,380,0,380,0,380
390,390,0,0,390,390
440,440,440,0,0,0
430,430,430,0,430,0
0,0,410,410,410,0
0,0,0,390,390,390
0,0,0,400,400,420
400,400,0,0,420,0
400,400,400,400,0,0
450,450,0,0,450,0
0,450,450,0,450,0
0,470,470,0,470,0
