Abhi,Akash,Nats,Naati,Prateek,Bidder
380,0,380,0,380,Akash
0,400,400,0,0,Naati
0,420,400,0,400,Akash
0,0,450,450,0,Abhi
0,400,420,400,0,Nats
0,410,0,430,410,Naati
430,430,0,450,0,Naati
0,400,0,0,400,Nats
0,420,0,440,420,Naati
0,390,390,0,390,Abhi
0,390,410,0,390,Nats
0,420,440,420,0,Nats
0,420,420,0,0,Abhi
0,440,460,440,0,Nats
440,420,0,0,420,Abhi
0,410,0,390,390,Akash
410,0,0,410,0,Prateek
0,0,0,390,390,Abhi
0,430,0,430,0,Nats
430,430,0,0,430,Nats
410,0,0,410,430,Prateek
530,550,0,0,530,Akash
500,500,0,0,500,Nats
