Prateek,Ani,Nats,Akash,Abhi
400,0,0,400,0
0,0,390,390,410
400,0,0,400,0
0,0,420,400,0
390,390,0,0,0
0,440,420,0,420
0,0,440,460,440
390,390,390,0,0
410,410,0,0,0
410,0,410,0,410
420,0,0,400,0
420,0,0,420,420
400,0,0,400,0
420,0,0,420,0
390,0,0,390,0
0,390,0,390,0
420,0,400,0,400
0,400,0,400,0
420,420,0,0,0
400,0,0,400,0
0,440,0,0,440
0,0,410,390,390
0,470,490,470,0
0,390,0,390,410
0,400,0,400,0
0,440,0,0,440
390,0,390,410,0
0,420,420,440,0
400,0,400,420,0
420,0,440,420,0
0,0,450,450,0
0,0,430,0,430
400,0,400,400,0
390,390,390,0,0
0,390,0,0,390
390,0,0,390,0
0,390,0,390,0
