Abhi,Akash,Prateek,Nats
0,210,0,190
210,0,230,0
0,0,185,185
185,0,0,205
0,0,180,200
190,190,0,0
195,195,0,0
0,0,175,175
230,0,0,250
180,0,200,0
0,190,0,190
0,200,0,180
0,200,220,0
0,230,230,0
0,0,230,230
0,220,200,0
205,0,185,0
200,0,0,200
0,200,200,0
0,240,0,220
0,0,190,190
0,185,185,0
220,200,0,0
0,220,200,0
0,0,190,190
200,0,200,0
0,190,0,210
0,200,0,200
0,195,195,0
0,0,200,220
200,0,200,0
0,200,0,180
0,210,210,0
0,195,175,0
0,185,0,185
0,210,190,0
210,190,0,0
0,230,0,230
190,0,190,0
180,180,0,0
0,0,210,230
0,215,195,0
0,215,0,195
200,0,200,0
265,0,0,245
0,220,200,0
0,250,270,0
200,200,0,0
210,0,0,190
0,190,210,0
210,210,0,0
0,200,180,0
180,0,180,0
180,0,0,200
0,0,230,230
190,0,210,0
0,0,190,210
0,190,0,210
210,0,210,0
200,0,200,0
0,0,190,190
200,0,0,220
0,0,220,200
0,0,220,200
0,205,185,0
195,195,0,0
0,185,0,205
195,195,0,0
0,210,230,0
0,240,0,220
195,215,0,0
0,200,220,0
0,0,185,185
0,195,0,215
220,0,220,0
0,185,0,185
240,260,0,0
200,220,0,0
0,210,210,0
210,0,190,0
200,0,0,200
210,0,230,0
0,210,230,0
215,195,0,0
0,210,190,0
0,220,240,0
220,0,0,220
0,0,220,220
0,0,240,260
0,0,260,280
0,200,0,200
0,0,200,200
0,0,200,220
0,250,0,270
0,230,230,0
0,210,190,0
0,200,0,220
230,210,0,0
190,210,0,0
190,190,0,0
190,0,190,0
240,240,0,0
0,0,200,220
0,0,200,220
0,0,230,250
0,190,190,0
0,0,240,220
220,0,0,220
215,195,0,0
0,200,0,200
0,0,310,290
0,230,210,0
220,220,0,0
0,190,190,0
0,195,0,195
0,0,175,175
0,0,195,215
0,200,220,0
0,250,0,250
0,0,195,195
0,200,0,200
0,195,195,0
0,230,0,230
195,215,0,0
200,220,0,0
0,210,210,0
200,0,220,0
215,195,0,0
200,0,200,0
200,0,200,0
200,200,0,0
0,0,220,220
0,0,200,200
190,0,190,0
0,0,190,210
0,195,0,195
0,0,215,195
0,210,230,0
0,0,200,200
0,195,0,195
0,180,200,0
0,0,195,215
0,0,195,195
215,195,0,0
0,0,240,220
0,220,220,0
215,0,0,195
0,240,240,0
0,0,270,290
300,0,320,0
0,0,210,210
210,210,0,0
0,200,0,200
0,210,0,210
0,0,230,210
0,0,230,250
