Bidder,Chirag,Ani,Prateek,Nats,Akash
Prateek,0,0,0,195,195
Nats,0,0,260,280,260
Prateek,0,195,0,195,195
Nats,0,240,240,0,0
Nats,200,200,0,220,0
Prateek,195,0,0,195,195
Akash,200,0,0,200,0
Prateek,300,0,320,0,300
Akash,0,190,190,190,0
Akash,0,200,200,0,220
Nats,0,300,0,320,300
Prateek,190,0,210,0,190
Prateek,0,260,280,0,0
Akash,260,0,0,260,280
Akash,0,0,270,0,290
Prateek,260,260,280,0,0
Akash,0,0,250,250,0
Prateek,280,0,300,0,280
Nats,240,0,240,0,240
Nats,0,300,0,320,300
Nats,0,0,300,320,300
Akash,300,0,300,0,320
Prateek,0,280,300,0,280
Akash,200,0,0,200,220
Chirag,320,0,0,300,300
Akash,0,300,300,0,320
Nats,300,0,300,320,0
