Bidder,Leela,Nats,Akash,Skanda
Akash,200,200,0,0
Leela,0,200,200,0
Skanda,0,0,195,215
Akash,220,0,240,0
Skanda,0,0,200,220
Nats,0,0,220,220
Skanda,210,210,0,0
Akash,0,0,230,210
Nats,210,0,0,210
Nats,210,0,210,0
Leela,0,0,210,210
Skanda,0,220,200,0
Nats,0,0,220,220
Nats,210,0,210,0
Nats,0,230,0,210
Nats,0,230,0,210
Leela,0,200,0,200
Akash,0,0,240,220
Skanda,0,0,200,220
Nats,195,0,195,0
Skanda,210,210,0,0
Leela,0,0,200,200
Leela,0,210,0,210
Nats,0,0,210,210
Akash,0,195,0,195
