Bidder,Yandigeri,Prateek,Nats,Akash
Nats,0,0,210,190
Nats,210,0,0,210
Prateek,210,0,210,0
Akash,195,0,195,0
Akash,195,195,0,0
Nats,0,220,0,220
Prateek,0,220,200,0
Prateek,0,215,195,0
Yandigeri,240,220,0,0
Akash,0,0,250,270
Nats,280,0,300,0
Prateek,0,0,210,210
Yandigeri,0,200,0,200
Nats,0,200,220,0
Prateek,0,215,0,195
Nats,0,195,215,0
Prateek,210,230,0,0
Prateek,0,0,210,210
Nats,190,190,0,0
Nats,0,220,0,220
Prateek,0,280,260,0
Yandigeri,0,220,220,0
Prateek,0,0,210,210
Nats,220,0,0,220
Akash,0,200,200,0
Nats,195,0,0,195
Prateek,220,0,220,0
Nats,0,195,0,195
Akash,0,220,220,0
Prateek,0,220,200,0
