Bidder,Prateek,Nats,Abhi,Akash,Margin
Prateek,0,210,210,0,50
Akash,210,0,0,230,20
Nats,0,230,0,210,30
Prateek,230,0,0,210,20
Prateek,0,230,0,230,60
Abhi,220,0,0,220,65
Nats,0,0,230,230,90
Abhi,0,230,250,0,20
Prateek,320,0,0,300,0
Abhi,210,0,0,210,85
Abhi,0,200,0,200,85
Abhi,0,220,0,220,110
Akash,200,200,0,0,70
Akash,210,0,0,230,30
Abhi,200,200,0,0,100
Prateek,0,0,220,220,40
Abhi,220,0,0,220,50
Prateek,0,210,0,210,50
Abhi,220,220,0,0,100
Akash,0,210,210,0,115
Prateek,0,250,250,0,20
Abhi,0,300,320,0,0
Akash,270,0,0,290,0
Abhi,0,210,0,210,95
Prateek,230,210,0,0,15
Prateek,0,210,210,0,85
Nats,230,0,0,230,30
Nats,220,220,0,0,30
Prateek,0,210,0,210,70
Akash,0,210,0,230,15
Akash,200,200,0,0,110
Nats,200,220,0,0,45
Prateek,320,300,0,0,0
Abhi,0,210,0,210,55
Nats,210,230,0,0,20
Akash,210,0,0,230,40
Nats,220,240,0,0,20
Akash,210,0,210,0,140
Abhi,220,220,0,0,60
Prateek,220,0,0,200,20
Abhi,0,220,0,220,55
Prateek,0,200,200,0,65
Abhi,0,220,240,0,25
Nats,0,290,0,270,0
Prateek,0,210,0,210,100
Prateek,0,210,0,210,55
Prateek,230,210,0,0,25
Abhi,0,0,290,270,0
Abhi,220,0,0,220,45
Prateek,230,0,210,0,30
Akash,200,0,0,220,10
Abhi,200,0,0,200,95
Prateek,0,210,0,210,90
Prateek,280,0,0,260,0
Prateek,0,0,200,200,80
Nats,0,220,200,0,40
Akash,200,0,200,0,80
Abhi,220,220,0,0,65
Prateek,220,200,0,0,30
Prateek,0,200,200,0,55
Prateek,0,220,220,0,110
Abhi,210,210,0,0,70
Akash,220,220,0,0,60
Akash,0,200,200,0,55
Prateek,0,210,210,0,45
Akash,220,0,220,0,45
Abhi,0,0,280,260,0
Nats,200,0,200,0,65
Abhi,230,0,210,0,40
Abhi,210,0,230,0,20
Prateek,230,210,0,0,35
Abhi,200,0,220,0,50
Prateek,0,0,220,220,35
Akash,200,0,200,0,55
Akash,0,210,210,0,70
Abhi,200,0,0,200,70
Akash,210,0,210,0,60
Prateek,0,0,210,210,95
Nats,210,230,0,0,20
Prateek,0,0,210,210,55
Prateek,280,0,260,0,0
Akash,0,200,200,0,65
Abhi,220,0,0,220,70
Abhi,0,0,220,200,40
Prateek,0,210,0,210,60
Prateek,240,0,0,220,20
Prateek,230,210,0,0,30
Abhi,210,210,0,0,50
Akash,210,0,0,230,30
Akash,0,0,210,230,20
Abhi,0,210,0,210,45
Nats,0,0,220,220,50
Prateek,0,210,210,0,60
Abhi,200,200,0,0,70
Akash,200,0,200,0,60
Prateek,240,0,0,220,20
Prateek,240,220,0,0,20
Nats,0,220,200,0,45
Akash,0,200,0,220,30
Abhi,230,0,210,0,30
Akash,200,0,200,0,55
Akash,210,0,210,0,70
Nats,0,230,0,210,40
Prateek,0,210,210,0,60
Akash,0,210,210,0,70
Prateek,0,220,0,220,55
Akash,200,0,200,0,65
Nats,0,0,210,210,65
Prateek,230,0,210,0,20
Abhi,0,200,0,200,140
Akash,0,200,200,0,120
Abhi,300,0,320,0,0
Prateek,230,0,0,210,15
Akash,200,200,0,0,105
Abhi,0,300,320,0,0
Nats,0,220,200,0,40
Prateek,220,200,0,0,45
Prateek,0,0,210,210,0
Nats,300,320,0,0,95
Prateek,0,0,210,210,65
Prateek,0,200,200,0,0
Akash,250,0,0,270,45
Prateek,220,0,0,200,15
Nats,220,240,0,0,85
Prateek,0,200,200,0,45
Akash,210,210,0,0,70
Akash,0,200,200,0,130
Akash,200,0,200,0,100
Akash,0,200,200,0,50
Prateek,220,200,0,0,50
Nats,0,220,200,0,65
Abhi,200,0,0,200,60
Abhi,200,0,0,200,30
Nats,200,220,0,0,50
Prateek,220,0,0,200,20
Akash,200,0,0,220,100
Abhi,0,200,0,200,50
Prateek,0,230,230,0,0
Prateek,300,280,0,0,55
Abhi,210,0,0,210,75
