Bid,Prateek,Nats,Akash,Discard,Margin
Nats,200,0,0,40,30
Akash,200,0,0,50,40
Prateek,290,270,0,10,0
Prateek,0,210,0,10,35
Akash,200,0,0,10,45
Prateek,220,200,0,25,10
Akash,200,200,0,15,40
Nats,195,215,0,5,50
Prateek,0,0,195,30,80
Akash,220,0,0,20,20
Prateek,0,200,0,30,50
Nats,0,215,195,25,30
Nats,0,0,210,50,30
Prateek,0,195,195,20,120
Prateek,215,0,195,40,10
Nats,210,230,0,30,10
Nats,0,230,210,30,10
Nats,260,280,0,20,0
Akash,195,195,0,30,70
Nats,200,0,200,15,75
Nats,0,0,220,35,10
Prateek,240,220,0,20,10
Nats,0,0,195,25,50
Nats,195,0,195,20,75
Akash,245,0,265,15,0
Prateek,220,200,0,30,10
Nats,195,0,0,20,45
Prateek,220,0,200,15,10
Nats,195,0,195,25,125
Prateek,270,0,250,15,0
Nats,0,270,250,10,0
Prateek,0,0,210,15,40
Nats,200,0,0,20,60
Prateek,0,200,200,20,35
Akash,200,200,0,60,120
Prateek,0,0,200,10,115
Prateek,230,0,210,10,10
Akash,0,250,270,15,0
Akash,0,245,265,0,0
Nats,200,220,0,25,20
Akash,0,195,0,25,50
Nats,0,270,250,20,0
Akash,0,195,0,25,45
Nats,0,220,200,25,20
Akash,0,200,220,10,10
Prateek,0,0,200,10,55
Akash,0,195,215,10,25
Nats,0,270,250,20,0
Nats,210,0,210,20,155
Akash,200,0,0,30,35
Prateek,0,200,200,15,95
Nats,0,270,250,30,0
Nats,200,0,0,30,60
Prateek,270,0,250,50,0
Prateek,0,195,0,35,80
Akash,250,0,270,20,0
Prateek,0,0,200,30,100
Akash,195,0,0,15,70
Nats,0,0,190,40,60
Nats,0,220,200,10,20
Prateek,220,0,200,20,25
Prateek,0,220,220,10,65
Prateek,0,200,0,30,50
Nats,0,0,200,25,40
Nats,0,220,200,15,20
Prateek,0,195,195,20,80
Nats,0,220,200,30,10
Nats,210,0,0,25,80
Prateek,0,210,210,30,55
Prateek,220,0,200,30,10
Akash,200,0,220,30,10
Nats,0,220,200,10,35
Nats,200,0,0,30,35
Nats,190,0,0,25,80
Nats,250,270,0,30,0
Prateek,0,200,0,20,40
Prateek,0,220,0,35,10
Akash,0,195,0,30,50
Nats,200,0,0,20,65
Prateek,0,0,210,25,45
Prateek,0,0,195,45,125
Prateek,0,200,0,25,40
Prateek,0,195,0,20,40
Prateek,0,200,0,30,25
Akash,200,0,0,25,40
Akash,0,200,0,25,40
Prateek,0,200,0,25,45
Nats,210,0,0,15,55
Akash,195,195,0,25,125
Akash,195,0,215,15,35
Nats,200,220,0,20,10
Prateek,0,210,0,60,10
Akash,195,195,0,25,110
Nats,0,0,200,30,35
Akash,0,250,270,30,0
Nats,0,270,250,25,0
Akash,210,210,0,30,110
Prateek,0,210,210,30,130
Prateek,0,0,210,25,70
Akash,0,195,0,55,10
Prateek,215,0,195,15,10
Akash,0,200,220,25,10
Prateek,0,200,200,10,160
Prateek,0,0,200,10,45
Nats,200,0,0,25,55
Prateek,230,210,0,20,20
Akash,200,0,220,20,10
Akash,0,195,0,30,50
Nats,0,0,210,25,55
Akash,195,0,0,50,40
Prateek,0,210,0,20,45
Nats,200,0,200,30,80
Prateek,270,0,250,30,0
Akash,250,0,270,30,0
Akash,195,0,215,25,10
Akash,0,200,0,30,30
Nats,0,215,195,15,30
Nats,200,220,0,15,10
Nats,200,0,200,30,65
Nats,260,280,0,25,0
Akash,195,0,0,20,65
Prateek,0,195,0,55,65
Nats,210,0,0,100,35
Akash,195,0,0,10,55
Prateek,0,210,0,30,20
Nats,200,220,0,30,20
Akash,200,0,0,25,50
Akash,250,0,270,20,0
Prateek,0,200,0,20,65
Prateek,0,0,200,25,30
Akash,200,0,0,10,65
Akash,220,220,0,50,60
Prateek,0,195,0,30,65
Akash,245,0,265,20,0
Akash,210,210,0,30,65
Prateek,215,0,195,20,30
Nats,210,0,210,20,130
Prateek,220,0,200,25,25
Prateek,220,200,0,20,30
Akash,200,200,0,35,115
Nats,200,0,0,40,50
Prateek,0,200,0,30,45
Prateek,220,0,200,15,15
Nats,200,0,0,15,65
Akash,195,195,0,15,145
Nats,0,0,200,20,55
Prateek,0,210,210,25,115
