Bidder,Nats,Prateek,Akash,Discard,Margin
Akash,210,210,0,50,70
Prateek,200,0,0,30,25
Prateek,200,0,0,60,55
Akash,200,220,0,10,25
Prateek,0,0,195,50,55
Nats,270,250,0,30,0
Nats,0,220,200,30,10
Prateek,0,0,200,30,30
Prateek,0,0,210,30,55
Akash,0,200,0,50,25
Prateek,0,270,250,20,0
Prateek,0,220,200,20,10
Prateek,0,290,270,30,0
Nats,215,195,0,25,20
Prateek,0,0,200,50,30
Prateek,200,0,0,60,20
Prateek,270,290,0,20,0
Nats,0,0,195,20,45
Nats,0,0,220,25,10
Akash,210,210,0,10,40
Akash,0,195,215,30,10
Nats,280,0,260,40,0
Prateek,220,240,0,10,20
Nats,0,195,0,10,50
Prateek,0,220,200,20,10
Prateek,0,270,250,15,0
Nats,290,0,270,25,0
Prateek,0,0,200,30,75
Akash,200,0,220,20,25
Prateek,200,0,200,25,215
Nats,0,0,195,30,45
Prateek,200,220,0,15,15
Prateek,0,270,250,40,0
Prateek,210,230,0,10,15
Nats,0,210,0,45,20
Prateek,200,0,200,25,135
Prateek,200,0,0,20,65
Nats,300,280,0,20,0
Prateek,0,0,220,25,20
Prateek,0,0,200,10,55
Nats,0,210,0,35,30
Prateek,200,0,200,30,155
Prateek,0,0,200,60,15
Nats,0,200,200,30,90
Prateek,240,240,0,25,100
Prateek,200,0,0,15,50
Nats,230,210,0,10,30
Nats,0,0,195,20,50
Prateek,200,0,0,30,50
Prateek,200,0,0,30,25
Prateek,200,0,0,30,30
Nats,220,200,0,20,10
Prateek,0,0,220,20,30
Prateek,260,280,0,20,0
Akash,0,200,220,30,20
Prateek,0,270,250,50,0
Prateek,0,0,220,20,60
Akash,200,0,0,30,45
Akash,0,200,220,20,20
Nats,0,0,200,25,30
Nats,280,260,0,30,0
Prateek,0,0,200,25,55
Akash,200,0,0,40,20
Prateek,0,230,210,30,10
Prateek,0,0,220,40,15
Prateek,200,220,0,20,10
Prateek,240,0,240,20,80
Nats,290,270,0,25,0
Prateek,0,0,200,20,40
