Bidder,Skanda,Nats,Akash,Discard,Margin
Akash,0,190,0,20,70
Akash,200,0,0,25,35
Akash,195,0,0,20,45
Nats,0,0,195,25,75
Skanda,270,0,250,20,0
Skanda,0,0,220,30,30
Skanda,0,190,0,20,80
Nats,190,0,0,55,45
Nats,0,215,195,20,25
Nats,195,0,0,40,20
Akash,0,245,265,25,0
Skanda,215,195,0,25,10
Nats,195,0,195,25,105
Nats,195,0,195,15,75
Akash,190,0,0,50,50
Nats,195,215,0,20,10
Akash,0,195,215,15,20
Skanda,0,200,200,50,125
Skanda,0,200,200,40,120
Skanda,210,0,190,15,45
Skanda,220,0,200,25,10
Nats,0,0,190,60,25
Skanda,270,0,250,5,0
Skanda,220,200,0,10,35
Nats,0,270,250,10,0
Nats,0,0,210,25,30
Nats,0,215,195,25,10
Nats,0,215,195,5,45
Nats,0,0,195,35,50
Nats,0,215,195,20,15
Akash,190,0,0,55,30
Nats,195,215,0,25,20
Skanda,0,190,0,25,55
Skanda,265,245,0,10,0
Nats,250,270,0,0,0
Nats,190,210,0,15,35
Nats,0,260,240,35,0
Nats,0,265,245,30,0
Nats,270,290,0,25,0
Skanda,0,0,195,20,65
Skanda,215,0,195,25,15
Skanda,0,220,220,60,60
Akash,190,190,0,20,160
Akash,0,195,215,20,0
Skanda,0,0,190,25,105
Skanda,210,0,190,20,20
Nats,195,215,0,25,20
Akash,270,0,290,25,0
Nats,190,210,0,25,25
Nats,0,265,245,20,0
Akash,200,0,0,20,55
Skanda,0,200,0,35,40
Akash,190,0,210,20,30
Skanda,0,0,190,25,75
Akash,0,190,210,20,15
Skanda,0,195,0,35,40
Akash,185,185,0,40,120
Skanda,0,0,195,0,95
Akash,190,0,210,0,20
Akash,195,0,0,35,60
Skanda,0,0,195,20,60
Nats,0,215,195,30,10
Skanda,0,0,210,10,40
Akash,0,190,210,15,45
Skanda,0,210,0,30,85
Skanda,280,260,0,5,0
Akash,240,0,260,10,0
Akash,0,195,215,20,30
Skanda,220,0,200,30,20
Skanda,0,0,195,40,70
Akash,0,190,210,20,20
Skanda,0,200,0,10,45
Nats,0,210,190,20,25
Skanda,215,195,0,20,20
Akash,0,200,220,20,30
Akash,195,0,0,10,55
