Bidder,Nats,Akash,Prateek,Discard,Margin
Akash,0,220,200,10,30
Prateek,200,200,0,20,100
Akash,195,0,0,15,45
Prateek,0,190,0,40,30
Akash,0,0,195,30,60
Prateek,0,190,210,30,30
Akash,195,215,0,30,10
Akash,190,210,0,45,0
Prateek,0,195,0,15,105
Akash,0,215,195,40,15
Nats,0,195,195,60,120
Akash,195,215,0,20,25
Akash,195,215,0,25,20
Nats,0,0,200,30,30
Nats,0,0,200,30,40
Nats,0,195,195,25,155
Prateek,0,195,0,40,55
Akash,0,220,200,15,0
Prateek,0,0,200,20,40
Prateek,195,195,0,40,100
Nats,0,0,220,5,30
Akash,0,0,195,25,45
Akash,0,210,190,10,20
Akash,0,215,195,10,20
Nats,0,230,0,20,10
Akash,190,0,190,20,170
Akash,0,210,190,25,30
Akash,195,215,0,10,45
Akash,195,0,195,10,65
Nats,0,195,195,20,100
Nats,265,0,245,30,0
Nats,210,0,190,20,10
Nats,290,0,270,20,0
Akash,0,0,220,40,100
Nats,260,240,0,15,0
Nats,0,240,0,15,40
