Bidder,Akash,Nats,Prateek,Discard,Margin
Nats,0,205,185,30,30
Nats,180,200,0,25,30
Nats,250,270,0,15,0
Nats,200,0,0,30,45
Akash,205,185,0,30,30
Akash,240,0,220,20,10
Akash,0,195,0,55,40
Prateek,0,185,205,20,45
Akash,0,195,0,15,85
Prateek,190,0,0,15,50
Akash,210,190,0,10,30
Prateek,0,190,210,20,20
Akash,0,190,190,30,90
Prateek,0,195,0,55,40
Akash,0,195,0,30,120
Nats,0,220,200,20,10
Akash,265,245,0,20,0
Nats,0,210,190,30,10
Akash,220,0,200,20,10
Akash,200,180,0,25,10
Nats,0,0,200,25,40
Nats,250,270,0,10,0
Prateek,185,0,205,30,35
Nats,245,265,0,20,0
Prateek,195,195,0,20,110
Nats,0,0,185,20,90
Akash,280,0,260,20,0
Prateek,0,250,270,20,0
Akash,280,0,260,40,0
Nats,0,0,210,15,75
Akash,0,0,200,35,25
Prateek,190,0,210,10,35
Akash,0,0,220,40,40
Prateek,210,0,0,25,80
Prateek,190,0,210,10,10
Akash,0,0,200,25,30
Nats,200,0,200,30,45
Prateek,200,0,0,15,45
Nats,200,220,0,25,10
Prateek,200,0,0,30,45
Prateek,190,0,210,25,20
Akash,0,195,0,30,75
Nats,0,215,195,40,0
Nats,260,280,0,5,0
Akash,215,0,195,10,15
Akash,210,0,190,50,10
Nats,260,280,0,30,0
Akash,290,0,270,20,0
Nats,0,0,220,20,35
Prateek,195,0,215,20,10
Akash,0,195,0,50,20
Akash,0,0,210,30,100
Akash,0,0,200,30,50
Prateek,260,0,280,20,0
Akash,0,210,0,30,40
Akash,300,280,0,20,0
Prateek,190,0,0,35,50
Nats,190,0,0,10,95
