Bidder,Nats,Skanda,Akash,Discard,Margin
Skanda,0,0,195,30,40
Nats,0,230,230,30,25
Akash,195,0,215,10,40
Nats,0,0,210,35,55
Akash,0,195,215,10,20
Skanda,195,0,0,20,70
Akash,0,195,215,10,45
Skanda,195,0,0,30,30
Akash,0,220,0,10,30
Skanda,0,300,280,20,0
Akash,0,190,210,20,10
Akash,0,195,0,50,50
Nats,0,0,195,30,70
Nats,300,0,280,10,0
Akash,195,0,0,20,45
Akash,200,0,0,55,25
Skanda,220,0,0,30,10
Nats,220,0,200,25,10
Nats,220,0,200,25,10
Akash,0,210,230,25,10
Akash,190,0,0,30,65
Skanda,195,0,0,20,75
Nats,220,200,0,15,10
Akash,0,220,0,30,55
Skanda,195,0,195,30,75
Nats,0,195,0,60,45
Nats,230,0,210,25,10
Nats,0,195,0,15,70
Akash,0,190,0,35,65
Skanda,195,0,195,20,150
Akash,195,0,215,30,20
Nats,0,0,195,25,55
Nats,270,0,250,20,0
Skanda,0,0,200,35,35
Skanda,200,0,0,35,35
Akash,250,0,270,30,0
Skanda,0,220,200,20,30
Akash,210,210,0,30,45
Akash,0,195,195,15,20
