Bidder,Prateek,Nats,Akash,Discard,Margin
Nats,0,290,270,20,0
Prateek,220,0,200,15,10
Nats,0,0,210,30,60
Nats,200,0,0,45,20
Prateek,220,200,0,15,30
Akash,210,0,0,20,65
Prateek,230,0,210,15,20
Prateek,0,230,230,30,60
Prateek,0,0,220,50,40
Nats,210,0,210,50,75
Nats,220,0,0,10,50
Prateek,0,210,0,60,60
Akash,210,0,0,30,30
Akash,0,210,0,30,20
Prateek,0,0,220,50,20
Prateek,0,0,220,10,50
Akash,0,210,0,40,10
Nats,200,0,0,10,50
Akash,200,0,0,20,70
Nats,210,0,0,10,35
Prateek,230,0,210,20,10
Akash,0,210,0,30,20
Prateek,0,210,210,20,105
Akash,260,0,280,30,0
Prateek,230,210,0,15,10
Akash,200,0,220,20,15
Prateek,280,0,260,10,0
Akash,210,0,0,25,50
Akash,0,200,0,10,75
Prateek,0,200,200,45,120
Akash,210,0,0,15,40
Akash,200,0,0,0,60
Nats,210,0,210,50,55
Nats,200,220,0,25,25
Akash,200,200,0,50,125
Prateek,280,260,0,10,0
Nats,200,0,0,40,50
Prateek,0,0,210,50,10
Prateek,220,0,200,25,20
Nats,0,280,260,25,0
Prateek,0,210,0,35,20
Nats,210,0,210,20,105
